year	month	day	hour	minute	solar	wind	temp
2020	06	02	08	44	53	0.83	9.9
2020	06	02	09	05	77	1.29	10.4
2020	06	02	09	20	99	1.1	10.6
2020	06	02	09	35	155	1.52	10.9
2020	06	02	09	50	175	1.48	11.3
2020	06	02	10	06	157	1.82	11.5
2020	06	02	10	20	169	1.27	11.7
2020	06	02	10	35	261	1.27	12
2020	06	02	10	50	219	1.18	12.4
2020	06	02	11	04	261	2.03	12.7
2020	06	02	11	19	245	2.19	13.1
2020	06	02	11	34	255	2.3	13.2
2020	06	02	11	49	145	1.94	13.3
2020	06	02	12	04	183	2.31	13.2
2020	06	02	12	20	128	1.9	13.4
2020	06	02	12	35	148	1.85	13.5
2020	06	02	12	49	138	1.97	13.7
2020	06	02	13	05	133	2.15	13.8
2020	06	02	13	20	182	2.15	13.9
2020	06	02	13	34	203	2.43	14.1
2020	06	02	13	49	180	2.36	14.3
2020	06	02	14	05	156	2.63	14.4
2020	06	02	14	20	146	2.83	14.4
2020	06	02	14	35	124	1.93	14.5
2020	06	02	14	50	95	1.86	14.5
2020	06	02	15	05	216	2.14	14.3
2020	06	03	09	00	58	1.73	12
2020	06	03	09	14	136	1.05	11.8
2020	06	03	09	29	138	1.89	11.9
2020	06	03	09	44	143	2.03	12.1
2020	06	03	09	58	96	2.05	12.2
2020	06	03	10	13	136	1.51	12.3
2020	06	03	10	28	327	1.96	12.7
2020	06	03	10	44	168	1.68	13
2020	06	03	10	58	225	1.99	12.7
2020	06	03	11	13	348	2.17	12.9
2020	06	03	11	28	350	2.14	13
2020	06	03	11	43	325	2.38	13
2020	06	03	11	58	314	2.87	13
2020	06	03	12	12	280	2.28	12.9
2020	06	03	12	28	413	2.01	13.1
2020	06	03	12	43	433	1.94	13.4
2020	06	03	12	58	291	1.49	13.4
2020	06	03	13	13	413	1.88	13.3
2020	06	03	13	28	396	1.9	13.4
2020	06	03	13	43	430	2.26	13
2020	06	03	13	58	430	1.92	13.1
2020	06	03	14	13	368	2.06	13.2
2020	06	03	14	28	341	2.09	12.9
2020	06	03	14	43	198	2	13
2020	06	03	14	58	105	1.61	12.9
2020	06	03	15	13	249	2.3	12.6
2020	06	03	15	28	232	2.1	12.6
2020	06	03	15	42	192	2.47	12.5
2020	06	03	15	58	166	2.05	12.5
2020	06	04	08	51	74	0.89	11.2
2020	06	04	09	05	116	1.16	11.4
2020	06	04	09	19	188	1.83	11.6
2020	06	04	09	34	244	1.74	11.8
2020	06	04	09	49	248	1.75	12
2020	06	04	10	04	265	1.79	12.2
2020	06	04	10	19	300	1.75	12.2
2020	06	04	10	34	336	1.2	12.5
2020	06	04	10	48	364	1.15	12.9
2020	06	04	11	03	388	1.4	12.9
2020	06	04	11	19	396	1.38	13
2020	06	04	11	33	416	1.72	12.7
2020	06	04	11	48	423	1.71	13
2020	06	04	12	03	440	1.42	13.1
2020	06	04	12	18	448	1.43	12.9
2020	06	04	12	34	450	1.51	12.9
2020	06	04	12	49	451	1.6	12.7
2020	06	04	13	04	448	1.2	12.9
2020	06	04	13	18	436	1.63	12.9
2020	06	04	13	33	431	1.58	12.8
2020	06	04	13	48	416	1.91	12.7
2020	06	04	14	03	401	1.63	12.6
2020	06	04	14	18	380	1.32	12.7
2020	06	04	14	33	356	1.4	12.7
2020	06	04	14	47	328	1.7	12.6
2020	06	04	15	02	302	1.49	12.7
2020	06	04	15	17	270	1.33	12.5
2020	06	04	15	32	236	1	12.7
2020	06	04	15	47	202	1.39	12.7
2020	06	04	16	02	166	1.42	12.5
2020	06	04	16	17	129	1.13	12.4
2020	06	04	16	32	92	0.97	12.2
2020	06	04	16	46	56	0.73	12.2
2020	06	08	08	52	50	0.78	4.7
2020	06	08	09	07	91	0.85	5
2020	06	08	09	23	139	0.63	5.2
2020	06	08	09	38	150	0.86	5.7
2020	06	08	09	53	209	1.05	6.2
2020	06	08	10	07	242	0.81	7.6
2020	06	08	10	22	267	0.84	8.6
2020	06	08	10	37	288	1.08	9.1
2020	06	08	10	52	308	0.75	9.6
2020	06	08	11	07	326	0.68	10.3
2020	06	08	11	22	350	1.06	10.8
2020	06	08	11	36	324	1.33	10.7
2020	06	08	11	51	396	1.33	10.9
2020	06	08	12	06	308	0.81	11.2
2020	06	08	12	22	321	0.86	11.2
2020	06	08	12	37	370	0.84	11.6
2020	06	08	12	52	383	1.37	11.6
2020	06	08	13	07	184	1.34	11.5
2020	06	08	13	22	349	0.96	11.5
2020	06	08	13	37	288	1.1	11.9
2020	06	08	13	53	382	1.23	11.6
2020	06	08	14	08	373	1.07	11.9
2020	06	08	14	23	347	1.05	11.9
2020	06	08	14	38	311	1	12
2020	06	08	14	53	287	1.31	11.9
2020	06	08	15	08	254	1.19	11.7
2020	06	08	15	23	234	1	11.8
2020	06	08	15	38	191	1.18	11.9
2020	06	08	15	52	95	0.93	11.9
2020	06	08	16	08	67	0.8	12.1
2020	06	18	12	06	413	3.34	15.1
2020	06	18	12	21	415	2.54	15.3
2020	06	18	12	36	417	2.32	15.6
2020	06	18	12	51	414	2.68	15.6
2020	06	18	13	06	390	2.83	15.5
2020	06	18	13	21	411	2.57	15.6
2020	06	18	13	36	397	2.6	15.8
2020	06	18	13	51	372	2.3	15.8
2020	06	18	14	06	342	2.28	15.8
2020	06	18	14	21	322	2.65	15.8
2020	06	18	14	36	324	3.11	15.8
2020	06	18	14	51	301	2.76	15.9
2020	06	18	15	06	262	2.43	15.9
2020	06	18	15	21	218	2.63	15.8
2020	06	18	15	36	230	2.38	15.8
2020	06	18	15	51	176	2.3	15.9
2020	06	18	16	06	164	2.12	15.8
2020	06	18	16	21	143	1.78	15.7
2020	06	18	16	36	89	1.47	15.7
2020	06	23	09	10	76	0.51	10.1
2020	06	26	09	59	180	0.96	10
2020	06	26	10	13	262	1.49	10.8
2020	06	26	10	29	290	1.35	11.2
2020	06	26	10	44	316	1.87	11.4
2020	06	26	10	59	337	2.04	11.5
2020	06	26	11	14	357	1.23	12.1
2020	06	26	11	29	394	1.25	12.6
2020	06	26	11	44	440	1.79	12.6
2020	06	26	11	59	315	1.52	12.6
2020	06	26	12	14	270	1.15	12.7
2020	06	26	12	29	227	2.12	12.5
2020	06	26	12	44	156	1.87	12.5
2020	06	26	12	59	227	2.61	12.5
2020	06	26	13	14	82	2.08	12.5
2020	06	26	13	29	103	1.87	12.3
2020	06	26	13	44	198	1.74	12.1
2020	07	05	08	52	106	1.11	9.4
2020	07	06	13	14	317	2.54	12.5
2020	07	06	13	29	263	1.68	12.7
2020	07	06	13	44	231	1.19	12.7
2020	07	06	14	00	177	0.77	12.8
2020	07	06	14	15	157	1.72	12.7
2020	07	06	14	29	141	1.57	12.6
2020	07	06	14	44	123	1.6	12.3
2020	07	06	15	30	92	1.55	12.4
2020	07	07	12	23	111	0.45	10.5
2020	07	07	12	38	170	0.64	10.4
2020	07	07	12	55	84	0.74	11
2020	07	07	13	08	110	0.91	11
2020	07	07	13	24	140	0.85	11.1
2020	07	07	13	38	155	1.02	11.2
2020	07	07	13	53	122	1.18	11.3
2020	07	07	14	09	125	1.19	11
2020	07	07	14	23	103	1.04	11.1
2020	07	07	14	38	95	1.05	11
2020	07	07	14	54	105	1.38	11.1
2020	07	10	08	56	55	0.36	7.8
2020	07	10	09	11	120	0.69	8.4
2020	07	10	09	26	122	0.87	8.7
2020	07	10	09	41	134	0.38	8.7
2020	07	10	09	56	173	0.28	9
2020	07	10	10	11	192	0.77	9.7
2020	07	10	10	25	220	0.6	10
2020	07	10	10	40	301	0.64	10.4
2020	07	10	10	55	269	0.58	11.1
2020	07	10	11	10	244	0.83	11.3
